"flag",,,,"content",,,,
"$ENTRY_JOURNAL_INDEX_TITLE",,,,"INDICE",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_00",,,,"Journal Entries",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_10",,,,"1º giorno: @Dove sono?@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_20",,,,"1º notte: @<berserker_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_30",,,,"3º giorno: @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_40",,,,"3º notte: @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_50",,,,"3º giorno: @Prigione@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_60",,,,"4º giorno: @Il mondo a metà strada@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_70",,,,"5º giorno: @<ranger_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_80",,,,"8º giorno: @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_90",,,,"7º notte: @The Burning of Karsk@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_100",,,,"8º giorno: @Laksos@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_110",,,,"9º giorno: @<mcguffin_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_120",,,,"10º giorno: @La morte di Ozimal@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_130",,,,"10º notte: @Il monastero@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_140",,,,"11º giorno: @<healer_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_150",,,,"13º giorno: @Wrenna@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_160",,,,"14º giorno: @Nomadi@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_170",,,,"15º giorno: @Strano sogno@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_00",,,,"17º giorno: @Il gioiello del deserto@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_10",,,,"18º giorno: @<knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_20",,,,"19º giorno: @Una lettera da <knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_30",,,,"19º notte: @La mia risposta: 1º bozza@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_40",,,,"20º giorno: @<knight_hero_pos> Reply@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_50",,,,"21º giorno: @Letter from <LQ><knight_hero_up><RQ>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_60",,,,"21º notte: @ATTN: <berserker_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_70",,,,"22º notte: @<dragon_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_80",,,,"24º giorno: @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_90",,,,"25º giorno: @Il secondo sogno@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_100",,,,"28º giorno: @La morte di Zelemir@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_110",,,,"29º giorno: @Il terzo sogno@",,,,
